new_clipi-j,old_clipi-j,id,name,nodding,looking_down,getting_closer,active_hand,smile,vol_mean,vol_std,pitch_mean,pitch_std,word_num,sentiment,positive,negative,neutral,w0,w1,w2,w3,w4,event_type,time_start,time_end,dialogue
clip14-3,clip15-3,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.529,0.012,0.459,0.136,0.145,0.138,0.152,0.135,none,14:49.4,14:59.0,And a slash right after that word to indicate that you should do a little micro pause and here's why Let me give you a good example in a bad example i'm gonna start with a bad example.
clip14-4,clip15-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.533,0.018,0.449,0.136,0.145,0.138,0.152,0.135,none,15:00.1,15:07.4,"If i'm somebody who's speaking natural normal voice natural normal voice a little bit louder natural normal voice, then I blurred the effect."
clip14-5,clip15-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.454,0.017,0.529,0.136,0.145,0.138,0.152,0.135,none,15:09.0,15:20.0,"If it's change that captures the attention of the audience has to be clean crisp change, so what we're looking for is natural normal voice natural normal voice shift out loud."
clip15-1,clip15-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.396,0.009,0.595,0.136,0.145,0.138,0.152,0.135,single_activity,15:21.4,15:25.9,shift down natural normal voice make it a clean crisp change now become I want you to try it now.
clip15-2,clip15-7,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.411,0.037,0.552,0.136,0.145,0.138,0.152,0.135,single_activity,15:26.3,15:38.9,"I want you to do just the first line of your quote where you have your your loud word look don't worry about finishing the quote just give us that first line, but when you get to that word micro pause shift up."
clip15-3,clip16-1,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.634,0.007,0.359,0.136,0.145,0.138,0.152,0.135,single_activity,15:39.8,15:45.6,"shift up about 20 points in your volume, now that word shift down natural normal voice again."
clip15-4,clip16-2,2,Begum,0,0,0,0,0,53.49153231,11.29483291,207.8997557,24.58942787,1,0.5,0.602,0.009,0.389,0.177,0.184,0.172,0.171,0.176,single_activity,15:46.4,15:46.7,Okay.
clip15-5,clip16-3,2,Begum,1,0,1,0,0,-8.17110161,123.3296744,233.9457411,47.04282945,10,0,0.581,0.004,0.415,0.384,0.417,0.381,0.393,0.38,single_activity,15:47.2,15:53.2,"so forth, you can either look for reasons to succeed."
clip15-6,clip16-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.803,0.005,0.192,0.136,0.145,0.138,0.152,0.135,single_activity,15:53.9,16:00.6,"And pause right there good now folks, we think that was her loud do we think that was allowed, oh no."
clip15-7,clip16-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.923,0.004,0.073,0.136,0.145,0.138,0.152,0.135,single_activity,16:01.3,16:02.2,It was emphasis.
clip15-8,clip16-6,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.907,0.004,0.089,0.036,0.032,0.034,0.033,0.037,single_activity,16:02.6,16:02.9,It was.
clip15-9,clip16-7,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.87,0.014,0.116,0.136,0.145,0.138,0.152,0.135,single_activity,16:03.2,16:05.3,"Well, strong but it wasn't loud."
clip15-10,clip16-8,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.625,0.008,0.367,0.036,0.032,0.034,0.033,0.037,single_activity,16:05.7,16:13.7,"Now she she did that also also with her, her eyebrows to so she nodded her head she had other things to place emphasis, but I still want to stretch your voice."
clip15-11,clip16-9,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.698,0.021,0.281,0.136,0.145,0.138,0.152,0.135,single_activity,16:14.1,16:27.8,"Right it's a big big um I want you to say the word look natural normal voice just say look look now I want you to stretch up 20 points in the volume of your voice, and now that we're even louder go for it."
clip15-12,clip16-10,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.691,0.012,0.297,0.136,0.145,0.138,0.152,0.135,single_activity,16:28.7,16:32.0,"look good good good all right, so that almost there almost there."
clip15-13,clip16-11,2,Begum,0,0,0,0,0,78.94609433,3.518153855,391.2357676,56.29326373,2,0,0.414,0.005,0.581,0.245,0.262,0.24,0.241,0.241,single_activity,16:32.5,16:32.9,That doesn't.
clip15-14,clip16-12,2,Begum,0,0,0,0,0,66.90597226,12.04273728,336.8623029,85.35071955,3,-0.5,0.636,0.006,0.358,0.226,0.246,0.223,0.224,0.222,single_activity,16:34.4,16:35.9,make me angry.
clip15-15,clip16-13,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.544,0.004,0.452,0.036,0.032,0.034,0.033,0.037,single_activity,16:36.6,16:37.9,"No, no, no don't don't."
clip15-16,clip16-14,2,Begum,1,0,0,0,0,70.457321,9.389615706,360.268396,112.9494744,2,0,0.333,0.01,0.657,0.367,0.401,0.367,0.384,0.361,single_activity,16:39.1,16:39.7,don't don't.
clip15-17,clip16-15,2,Begum,0,0,1,0,1,61.10699902,12.69132221,336.3264124,59.46289209,9,0,0.325,0.004,0.671,0.321,0.343,0.313,0.309,0.318,single_activity,16:41.4,16:45.1,I keep that blog noise to my daughter yeah.
clip15-18,clip16-16,2,Begum,1,0,0,0,1,0,0,0,0,0,0,0.437,0.021,0.542,0.136,0.145,0.138,0.152,0.135,single_activity,16:47.2,16:54.0,"All right, that was about 16 points I need to push you to 20 I want you to say it again look okay."
clip15-19,clip17-1,2,Begum,1,0,0,0,1,0,0,0,0,0,0,0.71,0.013,0.277,0.136,0.145,0.138,0.152,0.135,single_activity,17:11.6,17:20.0,"Okay that's where we get your repetition so, but then that was perfect do your sentence again just that first line but go ahead and do that Nice bold look."
clip15-20,clip17-2,2,Begum,1,0,0,0,0,23.1943446,94.9654515,265.4017177,56.3169522,8,0,0.668,0.005,0.327,0.314,0.342,0.315,0.331,0.309,single_activity,17:21.6,17:26.1,You can either look for reasons to succeed.
clip16-1,clip18-1,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.287,0.179,0.534,0.136,0.145,0.138,0.152,0.135,all_activity,17:42.2,17:46.4,A G m diaphragm.
clip16-2,clip18-2,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.252,0.144,0.604,0.036,0.032,0.034,0.033,0.037,all_activity,17:47.6,17:48.7,I hope I spelled that right.
clip16-3,clip18-3,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.351,0.039,0.61,0.225,0.24,0.223,0.234,0.224,all_activity,17:50.6,17:56.6,"diver and everybody take one hands, and I want you to put it right here, I hope you can see that, where it's."
clip16-4,clip18-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.59,0.063,0.347,0.136,0.145,0.138,0.152,0.135,all_activity,17:57.0,18:04.0,"On your diaphragm just above your belly now take your other hand, make a fist and a right angle right right alongside you."
clip16-5,clip18-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.74,0.016,0.244,0.136,0.145,0.138,0.152,0.135,all_activity,18:04.4,18:20.7,"Now I want you to say the word kick but, as you say the word I want you to pull your fist in force all the air out of your lungs, as you say the word actually feel your diaphragm kick against your hand I want you to say kick ready."
clip16-6,clip19-1,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.477,0.013,0.51,0.036,0.032,0.034,0.033,0.037,all_activity,18:22.4,18:24.7,There we go oh Carla and gabrielle.
clip16-7,clip19-2,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.722,0.006,0.272,0.036,0.032,0.034,0.033,0.037,all_activity,18:24.7,18:25.8,You can come off mute that would be.
clip16-8,clip19-3,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.428,0.008,0.564,0.136,0.145,0.138,0.152,0.135,all_activity,18:25.8,18:30.3,"fun, but go yeah go for it ready 123 keke."
clip16-9,clip19-4,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.677,0.009,0.314,0.036,0.032,0.034,0.033,0.037,all_activity,18:30.5,18:31.8,keke keke.
clip16-10,clip19-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.55,0.017,0.433,0.136,0.145,0.138,0.152,0.135,all_activity,18:32.0,18:38.8,"Good now let's count 125 use your diaphragm and every number ready, here we go."
clip16-11,clip19-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.468,0.018,0.514,0.136,0.145,0.138,0.152,0.135,all_activity,18:39.5,18:45.5,11122333444
clip16-12,clip19-7,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.519,0.031,0.45,0.136,0.145,0.138,0.152,0.135,all_activity,18:46.8,18:47.3,All right.
clip16-13,clip19-8,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.561,0.033,0.406,0.136,0.145,0.138,0.152,0.135,all_activity,18:47.8,18:59.0,"Here we go, we got two more things two more things next round, I want you to start odd numbers natural normal voice even numbers diaphragm so do the change ready."
clip16-14,clip19-9,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.47,0.013,0.517,0.136,0.145,0.138,0.152,0.135,all_activity,18:59.1,19:08.3,3211122334 or five.
clip16-15,clip19-10,2,Begum,1,0,0,0,1,0,0,0,0,0,0,0.462,0.073,0.465,0.136,0.145,0.138,0.152,0.135,all_activity,19:11.4,19:22.2,"there's always somebody that goes to six all right now last one everybody, I want you to say these two words that you heard your parents say to all the time when you were growing up."
clip16-16,clip19-11,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.455,0.007,0.538,0.136,0.145,0.138,0.152,0.135,all_activity,19:23.3,19:23.9,step it.
clip16-17,clip19-12,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.579,0.019,0.402,0.136,0.145,0.138,0.152,0.135,all_activity,19:28.4,19:31.5,"gabrielle Carla to go ahead, stop it stop."
clip16-18,clip19-13,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.724,0.031,0.245,0.136,0.145,0.138,0.152,0.135,all_activity,19:32.0,19:33.2,It stop it.
clip16-19,clip19-14,2,Begum,0,0,0,0,0,64.49895316,12.36650973,287.2155145,36.14079858,2,0,0.551,0.007,0.442,0.198,0.21,0.194,0.194,0.196,all_activity,19:33.2,19:33.5,stop it.
clip17-1,clip19-15,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.721,0.017,0.262,0.136,0.145,0.138,0.152,0.135,all_question,19:33.6,19:41.4,You go there you go yeah now when your parents said those words like that stuffing did they have to get loud for you to know what was going on.
clip17-2,clip20-1,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.234,0.081,0.685,0.136,0.145,0.138,0.152,0.135,all_question,20:00.0,20:10.9,"A little bit okay anybody here know the movie karate kid knows, Mr miyagi yeah he used his diaphragm the whole time."
clip17-3,clip20-2,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.145,0.037,0.818,0.136,0.145,0.138,0.152,0.135,all_question,20:12.2,20:20.0,"Daniel son right Daniel son, you need to focus focus he didn't yell it wasn't about focus it wasn't."
clip18-1,clip20-3,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.514,0.012,0.474,0.225,0.24,0.223,0.234,0.224,single_activity,20:21.8,20:29.7,"All right, all right, but come back to you now everybody, I want you to find one word that you want to place this intensity behind."
clip18-2,clip20-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.803,0.014,0.183,0.136,0.145,0.138,0.152,0.135,single_activity,20:30.8,20:42.2,"And again indicate it somehow different from your loud So if you circled the word for loud maybe underline it for diaphragm but do something different, and begin tell me what that word is when you have yours."
clip18-3,clip21-1,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.761,0.041,0.198,0.036,0.032,0.034,0.033,0.037,single_activity,20:43.2,20:43.7,Okay.
clip18-4,clip21-2,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.597,0.006,0.397,0.036,0.032,0.034,0.033,0.037,single_activity,21:00.4,21:00.7,yeah.
clip18-5,clip21-3,2,Begum,1,0,0,0,0,51.88852119,11.92082093,231.2573811,5.902815661,1,0,0.642,0.021,0.337,0.251,0.272,0.252,0.268,0.247,single_activity,21:03.1,21:03.8,means.
clip18-6,clip21-4,2,Begum,0,0,0,0,0,57.83827641,14.73830383,268.9152848,50.63040321,3,0,0.257,0.013,0.73,0.199,0.212,0.195,0.195,0.197,single_activity,21:04.9,21:05.9,Does it called.
clip18-7,clip21-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.912,0.02,0.068,0.136,0.145,0.138,0.152,0.135,single_activity,21:07.6,21:08.9,I mean the word and new quote.
clip18-8,clip21-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.372,0.291,0.337,0.136,0.145,0.138,0.152,0.135,single_activity,21:11.0,21:23.6,"Yes, so you have one word, you have your words look that you're doing in loud what is another word that you want to use your diaphragm on another word that you want place emphasis on but with an intensity behind it."
clip18-9,clip21-7,2,Begum,0,0,0,0,0,54.84599053,12.48577797,261.5492328,71.86668602,3,0,0.456,0.314,0.23,0.207,0.22,0.203,0.203,0.204,single_activity,21:38.0,21:39.0,I couldn't find.
clip18-10,clip21-8,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.618,0.069,0.313,0.225,0.24,0.223,0.234,0.224,single_activity,21:43.0,21:54.6,"It might feel a little weird and awkward that's Okay, but I still want you to get practice with it so choose choose the best word for it, even if it doesn't feel perfect it's about you practicing with your voice in your throat."
clip18-11,clip21-9,2,Begum,0,0,0,1,0,0,0,0,0,0,0,0.505,0.065,0.43,0.115,0.107,0.11,0.101,0.117,single_activity,22:08.1,22:10.1,"Why don't you read your quote to me, and maybe I can help."
clip18-12,clip21-10,2,Begum,1,0,0,0,0,58.19379434,16.04900574,277.146762,64.60275544,18,-0.5,0.588,0.061,0.351,0.315,0.348,0.317,0.334,0.31,single_activity,22:12.3,22:18.9,"You can either look for reasons to succeed or find excuses to fail, what are you searching for."
clip18-13,clip21-11,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.876,0.002,0.122,0.136,0.145,0.138,0.152,0.135,single_activity,22:19.8,22:21.6,"All right, let's try the word fail."
clip18-14,clip21-12,2,Begum,1,0,0,0,0,48.53581896,22.74290762,259.8842102,68.85904825,3,0.5,0.72,0.032,0.248,0.321,0.346,0.32,0.336,0.317,single_activity,22:23.3,22:25.2,"Okay, from diaphragm."
clip18-15,clip21-13,2,Begum,1,0,0,1,0,0,0,0,0,0,0,0.376,0.081,0.543,0.214,0.22,0.214,0.221,0.214,single_activity,22:25.7,22:37.8,"yep so you can whatever you want to do to indicate that that's the diaphragm technique, but remember everybody put a slash before the word and a slash after the word remember your micro clauses."
clip18-16,clip21-14,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.231,0.008,0.761,0.036,0.032,0.034,0.033,0.037,single_activity,22:38.4,22:43.3,"Now we'll come back to you, I want you to say the word fell natural normal voice just say fail."
clip18-17,clip21-15,2,Begum,1,0,0,0,0,43.24987461,51.9454498,260.8859863,41.87885206,13,-0.5,0.616,0.006,0.378,0.292,0.322,0.294,0.311,0.287,single_activity,22:45.1,22:53.0,You can either look for reasons to succeed or find excuses to fail.
clip18-18,clip21-16,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.756,0.006,0.238,0.136,0.145,0.138,0.152,0.135,single_activity,22:53.6,22:56.1,"Now, yes, very good, so we have."
clip19-1,clip21-17,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.393,0.016,0.591,0.136,0.145,0.138,0.152,0.135,none,22:56.6,23:01.4,"When we say it natural normal voice it's fail and it almost is extended, a little bit fail."
clip19-2,clip21-18,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.787,0.027,0.186,0.225,0.24,0.223,0.234,0.224,none,23:01.7,23:14.8,"But when you use your diaphragm you place that owns behind it, we had that we heard that in your voice, it was felt it's almost like you make those words shorter you make it more constraint right fail okay now let's get to the last one."
clip19-3,clip22-1,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.362,0.024,0.614,0.136,0.145,0.138,0.152,0.135,none,23:16.1,23:24.3,"For volume so we're doing three for volume so 123 here's number three in your list go ahead, under diaphragm for number three right down whisper."
clip20-1,clip22-2,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.138,0.082,0.78,0.136,0.145,0.138,0.152,0.135,all_question,23:26.1,23:30.2,"whisper now why is whisper important, why does whisper matter."
clip20-2,clip22-3,2,Begum,1,0,0,0,0,57.76535359,11.48558942,290.7210605,77.10789394,4,0,0.493,0.025,0.482,0.32,0.349,0.321,0.337,0.315,all_question,23:33.1,23:34.7,It also takes attention.
clip20-3,clip22-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.582,0.005,0.413,0.136,0.145,0.138,0.152,0.135,all_question,23:35.5,23:36.1,In what way.
clip20-4,clip22-5,2,Begum,1,0,0,0,0,54.76635692,14.79324291,231.9949025,12.32716543,2,0,0.972,0.003,0.025,0.261,0.283,0.262,0.278,0.257,all_question,23:37.8,23:38.3,You know.
clip20-5,clip22-6,2,Begum,1,0,0,0,0,52.49881283,37.10514877,233.626633,43.93443323,30,0.121875,0.571,0.01,0.419,0.338,0.368,0.338,0.355,0.333,all_question,23:40.2,23:55.7,"It may mean that you know the presenter is saying something important it takes their attention and the recipients or the listeners would be more careful in listening, the message."
clip20-6,clip22-7,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.689,0.009,0.302,0.136,0.145,0.138,0.152,0.135,all_question,23:55.9,24:00.1,They might lean in a little bit and in a whisper could also feel a little bit special to.
clip20-7,clip22-8,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.348,0.036,0.616,0.136,0.145,0.138,0.152,0.135,all_question,24:00.5,24:04.7,"And then we perk up, we want to know it feels a little bit special now."
clip20-8,clip22-9,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.359,0.044,0.597,0.136,0.145,0.138,0.152,0.135,all_question,24:05.1,24:18.0,"If we go down our list loud, we did on one word a bold word diaphragm one word that intense word whisper, however, does not go on one word whisper goes on two or three."
clip20-9,clip22-10,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.302,0.022,0.676,0.136,0.145,0.138,0.152,0.135,all_question,24:18.5,24:26.3,"of your wisest words, two or three that are two or three words back to back to back in a word, group next to each other."
clip21-1,clip22-11,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.453,0.059,0.488,0.136,0.145,0.138,0.152,0.135,single_question,24:26.6,24:40.0,"That are your, why is this word so everybody find on your quote where are your, why is this words and you can do a little squiggly line underneath to indicate your whisper technique so become tell me when you have your whisper words."
clip21-2,clip22-12,2,Begum,1,0,0,0,0,56.00828923,19.4381299,289.1967744,48.64734377,6,0,0.491,0.029,0.48,0.307,0.334,0.308,0.324,0.302,single_question,24:40.1,24:43.1,It mine is the last sentence.
clip21-3,clip22-13,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.3,0.094,0.606,0.036,0.032,0.034,0.033,0.037,single_question,24:44.0,24:48.1,"How many words, is that, though, is that more than 304 words."
clip21-4,clip22-14,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.373,0.08,0.547,0.036,0.032,0.034,0.033,0.037,single_question,24:49.5,24:51.6,"All right, so tell me tell me what the words are."
clip21-5,clip22-15,2,Begum,1,0,0,0,0,58.76180757,13.14971798,283.1617078,50.30663748,5,0,0.449,0.013,0.538,0.305,0.332,0.305,0.322,0.3,single_question,24:52.0,24:53.6,What are you searching for.
clip21-6,clip22-16,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.401,0.013,0.586,0.136,0.145,0.138,0.152,0.135,single_question,24:56.6,24:58.0,"Okay, great let's try that."
clip22-1,clip23-1,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.314,0.007,0.679,0.225,0.24,0.223,0.234,0.224,all_activity,24:58.4,25:10.9,Okay now each of you gabrielle and Carla come on off mute and and I want the three of you to put your hands up like this and natalie just do whatever makes sense for you.
clip22-2,clip23-2,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.793,0.005,0.202,0.036,0.032,0.034,0.033,0.037,all_activity,25:11.3,25:12.9,Put your hands up like this.
clip22-3,clip23-3,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.807,0.006,0.187,0.036,0.032,0.034,0.033,0.037,all_activity,25:13.9,25:14.9,It become.
clip22-4,clip23-4,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.655,0.027,0.318,0.036,0.032,0.034,0.033,0.037,all_activity,25:16.1,25:19.3,"Oh, there you go now I want you to lean in and say whisper."
clip22-5,clip23-5,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.867,0.004,0.129,0.136,0.145,0.138,0.152,0.135,all_activity,25:20.1,25:20.8,whisper.
clip22-6,clip23-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.489,0.014,0.497,0.136,0.145,0.138,0.152,0.135,all_activity,25:22.0,25:30.8,Okay now whisper is not about being soft the audience still needs to hear you whisper is about aspirated your voice so I want you to.
clip22-7,clip23-7,2,Begum,1,0,0,1,0,0,0,0,0,0,0,0.574,0.015,0.411,0.214,0.22,0.214,0.221,0.214,all_activity,25:31.1,25:39.3,"channel your inner marlon brando from godfather Okay, and I want you to ask for it your voice, I want you to lean in with your hands, I want you to say whisper."
clip22-8,clip23-8,2,Begum,1,0,0,0,0,56.03326238,12.82245808,264.2213597,132.067962,1,0,0.561,0.06,0.379,0.343,0.374,0.343,0.36,0.337,all_activity,25:40.6,25:41.4,whisper.
clip22-9,clip23-9,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.639,0.012,0.349,0.036,0.032,0.034,0.033,0.037,all_activity,25:41.5,25:42.8,whisper thing.
clip22-10,clip23-10,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.357,0.021,0.622,0.136,0.145,0.138,0.152,0.135,all_activity,25:42.8,25:49.5,"Good good good now, if you think about it diaphragm we're forcing air out but we're doing it to a short point."
clip23-1,clip23-11,2,Begum,1,0,1,0,0,0,0,0,0,0,0,0.35,0.02,0.63,0.225,0.24,0.223,0.234,0.224,single_activity,25:50.0,26:09.3,"whisper we're still forcing air out but it's a softer feel and elongates the words okay that's the difference alright, so I want you to put all of your techniques together for the full sentence okay now what i'm going to be listening for is that you have your micro pauses."
clip23-2,clip23-12,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.64,0.011,0.349,0.136,0.145,0.138,0.152,0.135,single_activity,26:10.5,26:20.8,"So pause pause pause shift now that we're pause shift back down natural normal voice we're going to listen, for your loud your diaphragm and now you're."
clip23-3,clip23-13,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.662,0.005,0.333,0.036,0.032,0.034,0.033,0.037,single_activity,26:22.5,26:23.3,"All right, go for it."
clip23-4,clip23-14,2,Begum,1,0,0,0,0,31.66785764,71.65238773,254.9300043,56.31741991,6,0,0.518,0.01,0.472,0.305,0.333,0.306,0.322,0.301,single_activity,26:24.3,26:27.8,You can either look for reasons.
clip23-5,clip23-15,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.368,0.005,0.627,0.036,0.032,0.034,0.033,0.037,single_activity,26:28.2,26:29.7,That are again start again number.
clip23-6,clip23-16,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.472,0.014,0.514,0.136,0.145,0.138,0.152,0.135,single_activity,26:30.2,26:32.0,20 points up with a look.
clip23-7,clip23-17,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.616,0.011,0.373,0.136,0.145,0.138,0.152,0.135,single_activity,26:32.6,26:36.4,"Look, there you got it you got it your daughter's gonna be like she yelling at me."
clip23-8,clip23-18,2,Begum,1,0,0,0,0,34.58113922,73.21322307,269.4203751,61.34267447,11,0,0.677,0.004,0.319,0.323,0.353,0.324,0.34,0.318,single_activity,26:39.2,26:45.8,You can either look for reasons to succeed or find excuses.
clip23-9,clip23-19,2,Begum,1,0,0,0,0,63.54964291,13.73156612,259.4893784,50.67499193,2,-0.5,0.412,0.002,0.586,0.281,0.31,0.283,0.3,0.276,single_activity,26:47.9,26:48.8,To fail.
clip23-10,clip23-20,2,Begum,1,0,1,0,0,50.34238655,16.70824659,261.393229,44.32656942,8,0,0.551,0.009,0.44,0.383,0.415,0.38,0.392,0.379,single_activity,26:50.1,26:52.2,What are you what are you looking for.
clip24-1,clip24-1,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.06,0.004,0.936,0.036,0.032,0.034,0.033,0.037,all_question,27:05.6,27:06.5,i'm going to i'm going to.
clip24-2,clip24-2,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.681,0.012,0.307,0.136,0.145,0.138,0.152,0.135,all_question,27:08.5,27:14.7,"There we go i'm going to get that ready and get you into your breakout rooms, when you go into your breakout rooms it's just about repetition repetition repetition."
clip24-3,clip24-3,2,Begum,1,0,0,0,1,0,0,0,0,0,0,0.574,0.022,0.404,0.136,0.145,0.138,0.152,0.135,all_question,27:15.3,27:28.9,"But with your partner being your voice coach so each of you, I want you to do exactly what me and begum did here when the speaker is doing their quote and they have their loud and their diaphragm and their whisper."
clip24-4,clip24-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.788,0.034,0.178,0.136,0.145,0.138,0.152,0.135,all_question,27:29.4,27:41.3,"I want you to pay attention can you detect where the loudest can you detect where the diaphragm is, and if you can't what I want you to say to the speaker as their coach what do I want you to say to them."
clip24-5,clip24-5,2,Begum,0,0,0,0,0,0,0,0,0,0,0,0.523,0.011,0.466,0.036,0.032,0.034,0.033,0.037,all_question,27:44.7,27:45.0,Okay.
clip24-6,clip24-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.618,0.022,0.36,0.136,0.145,0.138,0.152,0.135,all_question,27:51.8,27:56.4,To put more emphasis on that allow the whisper that they have room.
clip24-7,clip24-7,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.314,0.014,0.672,0.136,0.145,0.138,0.152,0.135,all_question,27:56.8,28:03.8,that's right gabrielle I want you to do it again put more on to look more into a push yourself more and more more so you're there coach i'm giving you that hat.
clip24-8,clip24-8,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.497,0.016,0.487,0.136,0.145,0.138,0.152,0.135,all_question,28:04.3,28:17.1,"Then, when you're done, and they have a chance to do it, two or three times, then switch other partner goes and they'll coach you in the same way, no push it's gotta be it's gotta be louder it's got to be stronger it's got to have more pause try it again all right."
clip24-9,clip24-9,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.592,0.01,0.398,0.136,0.145,0.138,0.152,0.135,all_question,28:19.6,28:20.8,let's do.
clip25-1,clip25-1,2,Begum,1,0,0,1,0,0,0,0,0,0,0,0.797,0.052,0.151,0.214,0.22,0.214,0.221,0.214,all_activity,30:40.6,30:48.0,"All right, I want to, I want to get a feel for these three techniques i'm going to ask you two questions which one was easiest and which one was hardest."
clip25-2,clip25-2,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.341,0.026,0.633,0.136,0.145,0.138,0.152,0.135,all_activity,30:48.5,31:02.0,"Show me a one or two or three one means loud one mean two means diaphragm three means whisper out of all three of these techniques which one was which one did you like, which one was the easiest one, two or three."
clip25-3,clip25-3,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.45,0.014,0.536,0.136,0.145,0.138,0.152,0.135,all_activity,31:03.2,31:13.6,"everybody's usually a little different on this so it's all right different yep I just Okay, so we have we have a split some people like allowed some people like the timeframe nice okay so which one was the hardest, then, is that mean."
clip25-4,clip25-4,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.704,0.027,0.269,0.136,0.145,0.138,0.152,0.135,all_activity,31:13.6,31:19.3,"Well, please note that latinas team, we found we found the loud easier."
clip25-5,clip25-5,2,Begum,1,0,0,0,1,0,0,0,0,0,0,0.31,0.011,0.679,0.136,0.145,0.138,0.152,0.135,all_activity,31:19.3,31:21.5,For us it's more natural.
clip25-6,clip25-6,2,Begum,1,0,0,0,0,0,0,0,0,0,0,0.55,0.025,0.425,0.136,0.145,0.138,0.152,0.135,all_activity,31:21.8,31:24.3,Okay there's a bit of a theme there.
